,created_at,location,name,s_o
0,2020-04-09 02:11:41,"Miami, FL",Cyr🇵🇦,1
1,2020-04-09 02:11:41,"Miami, FL",Cyr🇵🇦,1
2,2020-04-09 02:11:41,New Delhi,Tri Radhakrishnan,0
3,2020-04-09 02:11:41,New Delhi,Tri Radhakrishnan,1
4,2020-04-09 02:11:41,"TX, USA",A. Jake 🇺🇸 🐰🐥☔🌴,0
5,2020-04-09 02:11:41,"Gurgaon, haryana, india",Shivam_agrawal,0
6,2020-04-09 02:11:41,"Gurgaon, haryana, india",Shivam_agrawal,1
7,2020-04-09 02:11:41,Ahmedabad,rishi,1
8,2020-04-09 02:11:41,Ahmedabad,rishi,1
9,2020-04-09 02:11:41,Ahmedabad,rishi,1
10,2020-04-09 02:11:41,,Mary-Lyn Fyfe,0
11,2020-04-09 02:11:41,,Mary-Lyn Fyfe,1
12,2020-04-09 02:11:41,,Mary-Lyn Fyfe,1
13,2020-04-09 02:11:41,,Mary-Lyn Fyfe,1
14,2020-04-09 02:11:41,India,CNNNews18,0
15,2020-04-09 02:11:41,India,CNNNews18,1
16,2020-04-09 02:11:41,Sunnyside pta,Stay At Home #21daysLockdown,0
17,2020-04-09 02:11:41,,Mandi,0
18,2020-04-09 02:11:41,,Mandi,1
19,2020-04-09 02:11:41,,Mandi,1
20,2020-04-09 02:11:41,,Kishor Chowbey,1
21,2020-04-09 02:11:41,,Kishor Chowbey,1
22,2020-04-09 02:11:41,"Bengaluru, India",Shrikant,0
23,2020-04-09 02:11:41,"Bengaluru, India",Shrikant,1
24,2020-04-09 02:11:41,"Florida, USA",Jvsh 💂🏽‍♂️ | ™️,1
25,2020-04-09 02:11:40,,Mad Dog 20/20,1
26,2020-04-09 02:11:40,,Mad Dog 20/20,1
27,2020-04-09 02:11:40,United Kingdom,Jay Shriver,1
28,2020-04-09 02:11:40,"College Park, GA",simply.Rie,1
29,2020-04-09 02:11:40,"College Park, GA",simply.Rie,1
30,2020-04-09 02:11:40,ON Canada,ⓇⓔⓓⓓⓡⓐⒼⓞⓝⓕⓛⓨ19👩💋❤️👠🌹🇺🇸🇨🇦,0
31,2020-04-09 02:11:40,ON Canada,ⓇⓔⓓⓓⓡⓐⒼⓞⓝⓕⓛⓨ19👩💋❤️👠🌹🇺🇸🇨🇦,1
32,2020-04-09 02:11:40,,Brad Dekes,1
33,2020-04-09 02:11:40,,Brad Dekes,1
34,2020-04-09 02:11:40,,Suresh@ahmedabad,0
35,2020-04-09 02:11:40,,Suresh@ahmedabad,1
36,2020-04-09 02:11:40,,Suresh@ahmedabad,1
37,2020-04-09 02:11:40,United States,Mother of Feminists,0
38,2020-04-09 02:11:40,"Lebanon, NH",hngrylkthewolf,1
39,2020-04-09 02:11:40,"Lebanon, NH",hngrylkthewolf,1
40,2020-04-09 02:11:40,"Lebanon, NH",hngrylkthewolf,1
41,2020-04-09 02:11:40,"PORTUGAL,  L.A  FINLAND",Isabelgothicechelon💘🇵🇹🇺🇲🇧🇷,1
42,2020-04-09 02:11:40,"PORTUGAL,  L.A  FINLAND",Isabelgothicechelon💘🇵🇹🇺🇲🇧🇷,1
43,2020-04-09 02:11:40,,Bevis Butthead XX.,1
44,2020-04-09 02:11:40,,Bevis Butthead XX.,1
45,2020-04-09 02:11:40,,Bevis Butthead XX.,1
46,2020-04-09 02:11:40,,Dick Storlie,1
47,2020-04-09 02:11:40,,Dick Storlie,1
48,2020-04-09 02:11:40,,Dick Storlie,1
49,2020-04-09 02:11:40,Father of Awesome Daughters,Dick Whitman,0
